Route_id,x,y,z
0,675,0,300
0,600,0,300
0,525,0,300
0,450,0,300
0,375,0,300
0,300,0,300
0,225,0,300
0,150,0,300
0,75,0,300
0,0,0,300
0,0,0,375
0,0,0,450
0,0,0,525
0,0,0,600
0,75,0,600
0,150,0,600
0,225,0,600
0,300,0,600
0,375,0,600
0,450,0,600
0,525,0,600
0,600,0,600
0,675,0,600
0,750,0,600
0,825,0,600
0,900,0,600
0,975,0,600
0,1050,0,600
0,1125,0,600
0,1050,0,600
0,975,0,600
0,900,0,600
0,900,0,525
0,900,0,450
0,825,0,450
0,750,0,450
0,675,0,450
1,225,0,450
1,150,0,450
1,75,0,450
1,0,0,450
1,0,0,375
1,0,0,300
1,0,0,225
1,0,0,150
1,0,0,75
1,0,0,0
1,75,0,0
1,150,0,0
1,225,0,0
1,300,0,0
1,375,0,0
1,450,0,0
1,525,0,0
1,600,0,0
1,675,0,0
1,600,0,0
1,525,0,0
1,450,0,0
1,375,0,0
1,300,0,0
1,225,0,0
1,300,0,0
1,375,0,0
1,450,0,0
1,525,0,0
1,600,0,0
1,675,0,0
1,750,0,0
1,825,0,0
1,900,0,0
1,975,0,0
1,1050,0,0
1,1125,0,0
1,1200,0,0
1,1275,0,0
1,1350,0,0
1,1350,0,75
1,1350,0,150
1,1350,0,225
1,1350,0,300
1,1275,0,300
1,1200,0,300
1,1125,0,300
3,225,0,600
3,300,0,600
3,375,0,600
3,450,0,600
3,450,0,525
3,450,0,450
3,450,0,375
3,450,0,300
3,450,0,225
3,450,0,150
3,375,0,150
3,300,0,150
3,225,0,150
5,675,0,150
5,600,0,150
5,525,0,150
5,450,0,150
5,450,0,75
5,450,0,0
5,525,0,0
5,600,0,0
5,675,0,0
5,750,0,0
5,825,0,0
5,900,0,0
5,975,0,0
5,1050,0,0
5,1125,0,0
6,225,0,150
6,150,0,150
6,75,0,150
6,0,0,150
6,0,0,225
6,0,0,300
6,0,0,375
6,0,0,450
6,0,0,525
6,0,0,600
6,75,0,600
6,150,0,600
6,225,0,600
6,300,0,600
6,375,0,600
6,450,0,600
6,525,0,600
6,600,0,600
6,675,0,600
6,750,0,600
6,825,0,600
6,900,0,600
6,975,0,600
6,1050,0,600
6,1125,0,600
6,1200,0,600
6,1275,0,600
