Truck_id, Route_id, Origin, Destination, Total Time, Arrival Time,,,
Truck-14,Route-14,(225.0 0.0 592.5),(675.0 0.0 600.0),52.761,2.621,30.098,,
Truck-31,Route-31,(1125.0 0.0 157.5),(675.0 0.0 150.0),54.81,2.624,32.146,,
Truck-39,Route-39,(1125.0 0.0 457.5),(675.0 0.0 450.0),57.415,2.625,34.751,,
Truck-19,Route-19,(675.0 0.0 457.5),(225.0 0.0 300.0),62.376,0,52.375,,
Truck-42,Route-42,(225.0 0.0 592.5),(675.0 0.0 600.0),58.928,2.535,33.858,,
Truck-13,Route-13,(675.0 0.0 157.5),(225.0 0.0 450.0),74.431,0,64.442,,
Truck-23,Route-23,(675.0 0.0 157.5),(675.0 0.0 0.0),79.081,2.537,56.436,,
Truck-47,Route-47,(675.0 0.0 7.5),(225.0 0.0 300.0),85.381,0,75.298,,
Truck-12,Route-12,(1125.0 0.0 307.5),(675.0 0.0 0.0),92.016,0,82.014,,
Truck-32,Route-32,(675.0 0.0 -7.5),(675.0 0.0 300.0),92.779,2.536,70.219,,
Truck-11,Route-11,(1125.0 0.0 -7.5),(1125.0 0.0 600.0),95.463,0,85.46,,
Truck-16,Route-16,(675.0 0.0 157.5),(675.0 0.0 600.0),96.236,2.623,73.573,,
Truck-40,Route-40,(225.0 0.0 592.5),(1125.0 0.0 600.0),98.598,2.534,76.038,,
Truck-9,Route-9,(225.0 0.0 592.5),(675.0 0.0 300.0),102.336,0,92.335,,
Truck-10,Route-10,(225.0 0.0 157.5),(675.0 0.0 0.0),106.235,2.622,83.571,,
Truck-20,Route-20,(1125.0 0.0 157.5),(1125.0 0.0 600.0),108.355,0,98.355,,
Truck-1,Route-1,(225.0 0.0 457.5),(225.0 0.0 300.0),110.156,40.315,49.837,,
Truck-48,Route-48,(1125.0 0.0 157.5),(225.0 0.0 0.0),110.499,2.538,87.937,,
Truck-27,Route-27,(225.0 0.0 -7.5),(675.0 0.0 150.0),115.258,2.621,92.594,,
Truck-4,Route-4,(675.0 0.0 592.5),(225.0 0.0 600.0),116.336,25.973,70.322,,
Truck-25,Route-25,(675.0 0.0 592.5),(1125.0 0.0 150.0),112.05,2.536,89.491,,
Truck-5,Route-5,(1125.0 0.0 592.5),(675.0 0.0 450.0),120.056,47.356,52.693,,
Truck-24,Route-24,(675.0 0.0 157.5),(675.0 0.0 600.0),127.008,2.541,101.939,,
Truck-8,Route-8,(675.0 0.0 592.5),(225.0 0.0 450.0),144.894,31.552,93.301,,
Truck-33,Route-33,(675.0 0.0 307.5),(675.0 0.0 450.0),146.236,0,136.236,,
Truck-18,Route-18,(225.0 0.0 -7.5),(1125.0 0.0 600.0),151.237,0,141.236,,
Truck-29,Route-29,(1125.0 0.0 7.5),(225.0 0.0 600.0),151.275,0,141.274,,
Truck-28,Route-28,(225.0 0.0 457.5),(675.0 0.0 450.0),150.118,2.535,127.558,,
Truck-7,Route-7,(225.0 0.0 157.5),(675.0 0.0 600.0),153.333,46.441,86.889,,
Truck-17,Route-17,(225.0 0.0 157.5),(225.0 0.0 300.0),152.039,2.535,129.476,,
Truck-49,Route-49,(225.0 0.0 307.5),(225.0 0.0 150.0),156.763,2.533,134.2,,
Truck-6,Route-6,(675.0 0.0 -7.5),(225.0 0.0 300.0),163.395,31.552,111.802,,
Truck-0,Route-0,(225.0 0.0 307.5),(1125.0 0.0 600.0),163.923,0,153.915,,
Truck-34,Route-34,(225.0 0.0 157.5),(225.0 0.0 300.0),176.576,2.567,151.486,,
Truck-22,Route-22,(675.0 0.0 592.5),(225.0 0.0 300.0),186.458,34.53,131.924,,
Truck-43,Route-43,(675.0 0.0 592.5),(1125.0 0.0 600.0),181.828,2.573,83.679,0.009,55.534
Truck-46,Route-46,(1125.0 0.0 307.5),(225.0 0.0 450.0),223.913,2.624,110.99,0.02,70.235
Truck-15,Route-15,(225.0 0.0 307.5),(1125.0 0.0 450.0),224.997,2.62,202.334,,
Truck-3,Route-3,(675.0 0.0 -7.5),(225.0 0.0 300.0),225.633,25.974,73.38,0.01,86.218
Truck-37,Route-37,(1125.0 0.0 457.5),(1125.0 0.0 600.0),276.53,0,171.79,0,84.705
Truck-26,Route-26,(225.0 0.0 157.5),(225.0 0.0 150.0),326.045,2.535,201.129,0.014,82.335
