Truck_id, Route_id, Origin, Destination, Arrival Time
Truck-3,Route-4,(225.0, 0.0, 0.0),(675.0, 0.0, 0.0),29.421,0
Truck-1,Route-1,(1125.0, 0.0, 0.0),(675.0, 0.0, 0.0),29.421,0
Truck-2,Route-2,(600.0, 0.0, 300.0),(225.0, 0.0, 450.0),15.08,0
Truck-1,Route-1,(1125.0, 0.0, 0.0),(675.0, 0.0, 0.0),108.005
Truck-3,Route-4,(225.0, 0.0, 0.0),(675.0, 0.0, 0.0),171.445
Truck-2,Route-2,(600.0, 0.0, 300.0),(225.0, 0.0, 450.0),194.165
Truck-3,Route-4,(225,0,0),(675,0,0),107.979,29.46,0
Truck-2,Route-2,(600,0,300),(225,0,450),135.9,15.119,0
Truck-1,Route-1,(1125,0,0),(675,0,0),191.1,51.238,0
Truck-1,Route-1,(1125,0,0),(675,0,0),107.979,29.456,56.518
Truck-2,Route-2,(600,0,300),(225,0,450),135.936,15.117,98.815
Truck-3,Route-4,(225,0,0),(675,0,0),179.358,49.437,107.917
Truck-3,Route-4,(225.0 0.0 0.0),(675.0 0.0 0.0),77.72,19.594,36.11
Truck-1,Route-1,(1125.0 0.0 0.0),(675.0 0.0 0.0),77.723,19.594,36.111
Truck-2,Route-2,(600.0 0.0 300.0),(225.0 0.0 450.0),85.196,8.979,54.212
Truck-2,Route-2,(600.0 0.0 300.0),(225.0 0.0 450.0),67.792,7.908,37.872
Truck-3,Route-4,(225.0 0.0 0.0),(675.0 0.0 0.0),68.035,15.548,30.479
Truck-1,Route-1,(1125.0 0.0 0.0),(675.0 0.0 0.0),68.112,15.549,30.555
Truck-3,Route-4,(225.0 0.0 0.0),(675.0 0.0 0.0),66.195,15.456,28.73
Truck-1,Route-1,(1125.0 0.0 0.0),(675.0 0.0 0.0),66.198,15.457,28.73
Truck-3,Route-4,(225.0 0.0 0.0),(675.0 0.0 0.0),65.697,15.511,28.174
Truck-1,Route-1,(1125.0 0.0 0.0),(675.0 0.0 0.0),65.699,15.511,28.174
Truck-2,Route-2,(600.0 0.0 300.0),(225.0 0.0 450.0),69.236,7.857,39.367
Truck-3,Route-4,(225.0 0.0 0.0),(675.0 0.0 0.0),63.836,15.711,26.115
Truck-1,Route-1,(1125.0 0.0 0.0),(675.0 0.0 0.0),64.001,15.711,26.28
Truck-4,Route-4,(225.0 0.0 0.0),(675.0 0.0 0.0),64.042,15.504,26.529
Truck-3,Route-4,(225.0 0.0 0.0),(675.0 0.0 0.0),63.577,15.412,26.153
Truck-1,Route-1,(1125.0 0.0 0.0),(675.0 0.0 0.0),63.744,15.412,26.324
Truck-4,Route-4,(225.0 0.0 0.0),(675.0 0.0 0.0),64.073,15.488,26.568
Truck-2,Route-2,(600.0 0.0 300.0),(225.0 0.0 450.0),87.735,7.774,57.951
Truck-5,Route-0,(1125.0 0.0 600.0),(225.0 0.0 0.0),136.894,15.412,99.473
Truck-6,Route-3,(675.0 0.0 600.0),(1125.0 0.0 600.0),141.841,93.505,26.328
Truck-1,Route-1,(1125.0 0.0 0.0),(675.0 0.0 0.0),63.939,15.656,26.275
Truck-1,Route-1,(1125.0 0.0 0.0),(675.0 0.0 0.0),64.187,15.898,26.276
Truck-3,Route-2,(600.0 0.0 300.0),(225.0 0.0 450.0),62.692,8.387,32.299
Truck-1,Route-1,(1125.0 0.0 0.0),(675.0 0.0 0.0),67.318,16.334,28.971
Truck-1,Route-1,(1125.0 0.0 0.0),(675.0 0.0 0.0),66.217,16.515,27.693
Truck-8,Route-8,(1125.0 0.0 300.0),(1125.0 0.0 300.0),115.668,104.667
Truck-9,Route-9,(675.0 0.0 300.0),(675.0 0.0 300.0),115.668,104.666
Truck-19,Route-19,(675.0 0.0 450.0),(675.0 0.0 450.0),115.669,104.667
Truck-2,Route-2,(225.0 0.0 300.0),(225.0 0.0 300.0),159.032,148.026
Truck-12,Route-12,(225.0 0.0 600.0),(225.0 0.0 600.0),161.758,150.756
Truck-0,Route-0,(225.0 0.0 600.0),(225.0 0.0 600.0),172.801,161.8
Truck-6,Route-6,(675.0 0.0 600.0),(675.0 0.0 600.0),172.802,161.799
Truck-10,Route-10,(1125.0 0.0 0.0),(1125.0 0.0 0.0),175.507,164.497
Truck-7,Route-7,(225.0 0.0 150.0),(225.0 0.0 150.0),176.559,165.558,165.558
Truck-3,Route-3,(1125.0 0.0 300.0),(1125.0 0.0 300.0),178.001,166.998
Truck-11,Route-11,(1125.0 0.0 600.0),(1125.0 0.0 600.0),177.411,166.406
Truck-5,Route-5,(225.0 0.0 300.0),(225.0 0.0 300.0),177.797,166.791
Truck-1,Route-1,(225.0 0.0 150.0),(225.0 0.0 150.0),184.26,173.258
Truck-13,Route-13,(1125.0 0.0 0.0),(1125.0 0.0 0.0),184.392,173.388
Truck-14,Route-14,(225.0 0.0 0.0),(225.0 0.0 0.0),195.669,184.668
Truck-15,Route-15,(1125.0 0.0 0.0),(1125.0 0.0 0.0),193.736,182.729
Truck-8,Route-8,(1125.0 0.0 300.0),(1125.0 0.0 300.0),16.01,5.003
Truck-9,Route-9,(675.0 0.0 300.0),(675.0 0.0 300.0),16.01,5.002
Truck-19,Route-19,(675.0 0.0 450.0),(675.0 0.0 450.0),16.011,5.003
Truck-2,Route-2,(225.0 0.0 300.0),(225.0 0.0 300.0),56.33,45.327
Truck-12,Route-12,(225.0 0.0 600.0),(225.0 0.0 600.0),61.389,50.385
Truck-8,Route-8,(1125.0 0.0 300.0),(1125.0 0.0 300.0),16.008,5
Truck-9,Route-9,(675.0 0.0 300.0),(675.0 0.0 300.0),16.015,5
Truck-19,Route-19,(675.0 0.0 450.0),(675.0 0.0 450.0),16.016,5.001
Truck-2,Route-2,(225.0 0.0 300.0),(225.0 0.0 300.0),67.038,56.03
Truck-8,Route-8,(1125.0 0.0 300.0),(1125.0 0.0 300.0),16.003,5
Truck-9,Route-9,(675.0 0.0 300.0),(675.0 0.0 300.0),16.007,5
Truck-19,Route-19,(675.0 0.0 450.0),(675.0 0.0 450.0),16.008,5
Truck-2,Route-2,(225.0 0.0 300.0),(225.0 0.0 300.0),64.153,53.139
