Truck_id, Route_id, Origin, Destination, Total Time, Arrival Time,,,
Truck-10,Route-10,(675.0 0.0 0.0),(1125.0 0.0 0.0),48.879,0,36.812,,
Truck-9,Route-9,(675.0 0.0 150.0),(225.0 0.0 150.0),48.883,0,36.812,,
Truck-13,Route-13,(1125.0 0.0 600.0),(1125.0 0.0 450.0),57.685,0,45.623,,
Truck-14,Route-14,(675.0 0.0 150.0),(225.0 0.0 0.0),62.935,0.023,50.896,,
Truck-0,Route-0,(675.0 0.0 600.0),(675.0 0.0 0.0),88.512,0,76.451,,
Truck-6,Route-6,(225.0 0.0 600.0),(675.0 0.0 0.0),94.331,0,82.274,,
Truck-1,Route-1,(675.0 0.0 300.0),(225.0 0.0 600.0),99.655,27.946,59.688,,
Truck-17,Route-17,(1125.0 0.0 150.0),(1125.0 0.0 450.0),112.279,0,100.214,,
Truck-5,Route-5,(225.0 0.0 150.0),(1125.0 0.0 600.0),127.576,0,115.516,,
Truck-7,Route-7,(1125.0 0.0 450.0),(225.0 0.0 0.0),130.378,0,118.317,,
Truck-10,Route-10,(675.0 0.0 0.0),(1125.0 0.0 0.0),54.687,0,42.573,,
Truck-9,Route-9,(675.0 0.0 150.0),(225.0 0.0 150.0),55.002,0,42.892,,
Truck-13,Route-13,(1125.0 0.0 600.0),(1125.0 0.0 450.0),64.135,0,52.025,,
Truck-14,Route-14,(675.0 0.0 150.0),(225.0 0.0 0.0),69.005,0.019,56.971,,
Truck-10,Route-10,(675.0 0.0 -7.5),(1125.0 0.0 0.0),48.882,0,36.822,,
Truck-9,Route-9,(675.0 0.0 157.5),(225.0 0.0 150.0),50.253,0,38.195,,
Truck-13,Route-13,(1125.0 0.0 592.5),(1125.0 0.0 450.0),58.575,0,46.519,,
Truck-10,Route-10,(675.0 0.0 -7.5),(1125.0 0.0 0.0),48.936,0,36.822,,
Truck-9,Route-9,(675.0 0.0 157.5),(225.0 0.0 150.0),50.696,0,38.574,,
Truck-13,Route-13,(1125.0 0.0 592.5),(1125.0 0.0 450.0),57.724,0,45.603,,
Truck-14,Route-14,(675.0 0.0 157.5),(225.0 0.0 0.0),62.604,0.019,50.572,,
Truck-10,Route-10,(675.0 0.0 -7.5),(1125.0 0.0 0.0),50.035,0,37.965,,
Truck-9,Route-9,(675.0 0.0 157.5),(225.0 0.0 150.0),53.449,0,41.369,,
Truck-13,Route-13,(1125.0 0.0 592.5),(1125.0 0.0 450.0),57.803,0,45.729,,
Truck-14,Route-14,(675.0 0.0 157.5),(225.0 0.0 0.0),65.987,0.019,53.942,,
Truck-0,Route-0,(675.0 0.0 592.5),(675.0 0.0 0.0),88.2,0,76.131,,
Truck-6,Route-6,(225.0 0.0 592.5),(675.0 0.0 0.0),94.24,0,82.17,,
Truck-1,Route-1,(1125.0 0.0 307.5),(225.0 0.0 600.0),99.355,26.905,60.432,,
Truck-17,Route-17,(1125.0 0.0 157.5),(1125.0 0.0 450.0),111.873,0,99.804,,
Truck-12,Route-12,(1125.0 0.0 307.5),(675.0 0.0 0.0),113.258,33.568,67.67,,
Truck-19,Route-19,(225.0 0.0 307.5),(675.0 0.0 450.0),127.243,0,115.164,,
Truck-5,Route-5,(225.0 0.0 157.5),(1125.0 0.0 600.0),127.821,0,115.747,,
Truck-7,Route-7,(1125.0 0.0 457.5),(225.0 0.0 0.0),130,0,117.928,,
Truck-2,Route-2,(1125.0 0.0 307.5),(1125.0 0.0 0.0),131.197,30.553,88.634,,
Truck-8,Route-8,(225.0 0.0 157.5),(225.0 0.0 600.0),182.803,0.018,106.502,15.016,47.236
Truck-15,Route-15,(225.0 0.0 592.5),(675.0 0.0 0.0),183.041,0.018,81.565,15.021,72.398
