Truck_id, Route_id, Origin, Destination, Total Time, Arrival Time,,,,,,,,,,,
Truck-1,Route-1,(225.0 0.0 -7.5),(675.0 0.0 0.0),23.316,0,18.314,,,,,,,,,,
Truck-42,Route-42,(675.0 0.0 157.5),(225.0 0.0 0.0),35.255,0,30.253,,,,,,,,,,
Truck-23,Route-23,(1125.0 0.0 157.5),(1125.0 0.0 0.0),35.569,0,30.568,,,,,,,,,,
Truck-10,Route-10,(1125.0 0.0 7.5),(225.0 0.0 0.0),41.843,0,36.842,,,,,,,,,,
Truck-28,Route-28,(1125.0 0.0 307.5),(675.0 0.0 0.0),50.483,1.294,39.186,,,,,,,,,,
Truck-35,Route-35,(1125.0 0.0 307.5),(1125.0 0.0 600.0),49.826,1.26,38.561,,,,,,,,,,
Truck-11,Route-11,(225.0 0.0 157.5),(675.0 0.0 600.0),56.223,0,51.222,,,,,,,,,,
Truck-31,Route-31,(1125.0 0.0 457.5),(1125.0 0.0 0.0),59.146,1.293,47.85,,,,,,,,,,
Truck-17,Route-17,(225.0 0.0 307.5),(1125.0 0.0 600.0),64.596,0,59.592,,,,,,,,,,
Truck-16,Route-16,(225.0 0.0 157.5),(225.0 0.0 300.0),66.658,1.29,55.364,,,,,,,,,,
Truck-0,Route-0,(225.0 0.0 592.5),(1125.0 0.0 0.0),67.392,0,62.391,,,,,,,,,,
Truck-32,Route-32,(225.0 0.0 457.5),(675.0 0.0 300.0),68.956,0,63.956,,,,,,,,,,
Truck-44,Route-44,(225.0 0.0 592.5),(1125.0 0.0 0.0),70.736,1.289,59.441,,,,,,,,,,
Truck-9,Route-9,(1125.0 0.0 307.5),(1125.0 0.0 150.0),70.972,0,65.971,,,,,,,,,,
Truck-4,Route-4,(675.0 0.0 307.5),(225.0 0.0 0.0),78.134,0,30.228,0.004,32.888,,,,,,,,
Truck-46,Route-46,(1125.0 0.0 607.5),(1125.0 0.0 600.0),107.264,0,50.322,0.002,41.928,,,,,,,,
Truck-29,Route-29,(1125.0 0.0 157.5),(225.0 0.0 300.0),117.785,1.293,47.059,0.002,49.416,,,,,,,,
Truck-15,Route-15,(675.0 0.0 307.5),(675.0 0.0 300.0),136.691,1.292,56.958,0.004,58.419,,,,,,,,
Truck-48,Route-48,(225.0 0.0 307.5),(225.0 0.0 300.0),146.831,1.291,32.408,0.002,47.335,0,40.772,,,,,,
Truck-27,Route-27,(675.0 0.0 607.5),(225.0 0.0 150.0),166.152,0,44.333,0.002,67.359,0.002,28.467,,,,,,
Truck-20,Route-20,(1125.0 0.0 457.5),(225.0 0.0 150.0),171.681,0,49.545,0.005,73.529,0.002,23.579,,,,,,
Truck-36,Route-36,(225.0 0.0 457.5),(225.0 0.0 300.0),179.811,1.289,25.28,0,46.921,0,63.502,0.002,12.788,,,,
Truck-37,Route-37,(1125.0 0.0 7.5),(1125.0 0.0 600.0),200.881,1.292,55.177,0.002,36.591,0,41.502,0.004,31.287,,,,
Truck-3,Route-3,(225.0 0.0 -7.5),(675.0 0.0 600.0),280.181,1.289,56.382,0,43.423,0.002,38.04,0.004,71.14,0.004,24.859,,
Truck-2,Route-2,(675.0 0.0 -7.5),(675.0 0.0 150.0),340.322,0,48.121,0.007,56.692,12.825,33.135,0.005,56.437,0.004,35.729,0.004,42.319
